Company Name,Type,Ex-Date,Record Date,Date Paid/Payable,Particulars
"CORTINA HOLDINGS LIMITED","DIVIDEND","25 Jul 2006","27 Jul 2006","11 Aug 2006","SGD 0.01 NET OF TAX"
"ISDN HOLDINGS LIMITED","DIVIDEND","25 Jul 2006","27 Jul 2006","08 Aug 2006","SGD 0.0182967 ONE-TIER TAX"
"SIA ENGINEERING CO LTD","DIVIDEND","25 Jul 2006","27 Jul 2006","08 Aug 2006","SGD 0.06 ONE-TIER TAX"
"SIA ENGINEERING CO LTD","DIVIDEND","25 Jul 2006","27 Jul 2006","08 Aug 2006","SGD 0.2 ONE-TIER TAX"
"SINGAPORE MYANMAR INVESTCO LIMITED","DIVIDEND","25 Jul 2006","27 Jul 2006","11 Aug 2006","HKD 0.08 ONE-TIER TAX"
"SURFACE MOUNT TECH (HLDGS) LTD","DIVIDEND","25 Jul 2006","27 Jul 2006","14 Aug 2006","HKD 0.12"
"SMRT CORPORATION LTD","DIVIDEND","24 Jul 2006","26 Jul 2006","08 Aug 2006","SGD 0.055 LESS TAX"
"ASCENDAS REAL ESTATE INV TRUST","DIVIDEND","21 Jul 2006","25 Jul 2006","24 Aug 2006","010406-300606 SGD 0.0309 LESS TAX"
"SPDR DJIA ETF TRUST","DIVIDEND","21 Jul 2006","25 Jul 2006","14 Aug 2006","USD 0.14882 LESS TAX"
"ASPIAL CORPORATION LIMITED","BONUS","20 Jul 2006","24 Jul 2006","","OFFER OF 1 FOR 10"
"COURTS SINGAPORE LIMITED","DIVIDEND","20 Jul 2006","24 Jul 2006","08 Aug 2006","SGD 0.0132 LESS TAX"
"STI ETF","DIVIDEND","20 Jul 2006","24 Jul 2006","02 Aug 2006","SGD 0.25 NET OF TAX"
"STI ETF","DIVIDEND","20 Jul 2006","24 Jul 2006","02 Aug 2006","SGD 0.25 ONE-TIER TAX"
"JTC S$300M4.875%N090128","INTEREST","19 Jul 2006","21 Jul 2006","28 Jul 2006","280106-270706 4.875%"
"METAL COMPONENT ENGG LTD","RIGHTS","18 Jul 2006","20 Jul 2006","","OFFER OF 1 FOR 3 @ SGD 0.04"
"PTERIS GLOBAL LIMITED","ENTITL.","18 Jul 2006","20 Jul 2006","","STOCK SPLIT OFFER OF 2 FOR 1"
"BUKIT SEMBAWANG ESTATES LTD","DIVIDEND","17 Jul 2006","19 Jul 2006","31 Jul 2006","SGD 0.3 LESS TAX"
"STARTECH ELECTRONICS W090613","ENTITL.","17 Jul 2006","19 Jul 2006","","333 FOR 1000"
"WILMAR INTERNATIONAL LIMITED","ENTITL.","17 Jul 2006","19 Jul 2006","","SHCONSO 10INTO1"
"TRANSMARCO LTD","DIVIDEND","13 Jul 2006","17 Jul 2006","28 Jul 2006","SGD 0.125 LESS TAX"
"WBL CORPORATION LIMITED","DIVIDEND","13 Jul 2006","17 Jul 2006","07 Aug 2006","SGD 0.05 LESS TAX"
"EQUATION SUMMIT LIMITED","RIGHTS","12 Jul 2006","14 Jul 2006","","OFFER OF 2 FOR 5 @ SGD 0.05"
"RAFFLES EDUCATION CORP LTD","DIVIDEND","11 Jul 2006","13 Jul 2006","24 Jul 2006","(3RD INTERIM) SGD 0.0125 ONE-TIER TAX"
"MIDAS HLDGS LIMITED","DIVIDEND","10 Jul 2006","12 Jul 2006","24 Jul 2006","(1ST INTERIM) SGD 0.0025 ONE-TIER TAX"
"VIBROPOWER CORPORATION LIMITED","DIVIDEND","10 Jul 2006","12 Jul 2006","26 Jul 2006","SGD 0.0025 NET OF TAX"
"LERENO BIO-CHEM LTD.","RIGHTS","07 Jul 2006","11 Jul 2006","","2RS+1WT FOR 2SH OFFER OF 2 FOR 2 @ SGD 0.03"
"HENGXIN TECHNOLOGY LTD.","DIVIDEND","06 Jul 2006","10 Jul 2006","20 Jul 2006","SGD 0.0033 ONE-TIER TAX"
"PCA TECHNOLOGY LIMITED","DIVIDEND","04 Jul 2006","06 Jul 2006","18 Jul 2006","SGD 0.0125 LESS TAX"
"SINGAPORE POST LIMITED","DIVIDEND","04 Jul 2006","06 Jul 2006","18 Jul 2006","SGD 0.0175 ONE-TIER TAX"
"SWISSCO HOLDINGS LIMITED","DIVIDEND","04 Jul 2006","06 Jul 2006","20 Jul 2006","SGD 0.001 ONE-TIER TAX"
"CHEUNG WOH TECHNOLOGIES LTD","DIVIDEND","03 Jul 2006","05 Jul 2006","18 Jul 2006","SGD 0.002 ONE-TIER TAX"
"JACKSPEED CORPORATION LIMITED","DIVIDEND","30 Jun 2006","04 Jul 2006","14 Jul 2006","SGD 0.0055 ONE-TIER TAX"
"JACKSPEED CORPORATION LIMITED","DIVIDEND","30 Jun 2006","04 Jul 2006","14 Jul 2006","SGD 0.0015 LESS TAX"
"CHINA MINING INTERNATIONAL LTD","DIVIDEND","29 Jun 2006","03 Jul 2006","12 Jul 2006","SGD 0.0071"
"DUTY FREE INTERNATIONALLIMITED","RIGHTS","29 Jun 2006","03 Jul 2006","","3WRTS FOR 10SH OFFER OF 3 FOR 10 @ SGD 0.02"
"EUCON HOLDING LIMITED","DIVIDEND","29 Jun 2006","03 Jul 2006","14 Jul 2006","SGD 0.005 ONE-TIER TAX"
"FRASER AND NEAVE LIMITED","ENTITL.","29 Jun 2006","03 Jul 2006","","STOCK SPLIT OFFER OF 5 FOR 1"
"AUSTRALAND PROPERTYGROUP","DIVIDEND","28 Jun 2006","30 Jun 2006","03 Aug 2006","FULLY FRANKED AUD 0.0155"
"AUSTRALAND PROPERTYGROUP","DIVIDEND","28 Jun 2006","30 Jun 2006","03 Aug 2006","DISTRIBUTION AUD 0.0198 LESS TAX"
"AUSTRALAND PROPERTYGROUP","DIVIDEND","28 Jun 2006","30 Jun 2006","03 Aug 2006","DISTRIBUTION AUD 0.0037 LESS TAX"
"AUSTRALAND PROPERTYGROUP","DIVIDEND","28 Jun 2006","30 Jun 2006","03 Aug 2006","DISTRIBUTION AUD 0.001 LESS TAX"
"NIKKO CORDIAL CORPORATION","DIVIDEND","28 Jun 2006","30 Jun 2006","25 Aug 2006","JPY 6"
"VASHION GROUP LTD.","RIGHTS","28 Jun 2006","30 Jun 2006","","OFFER OF 2 FOR 1 @ SGD 0.01"
"CWT LIMITED","BONUS","27 Jun 2006","29 Jun 2006","","OFFER OF 1 FOR 1"
"EUROPTRONIC GROUP LTD","DIVIDEND","27 Jun 2006","29 Jun 2006","14 Jul 2006","SGD 0.003 ONE-TIER TAX"
"EUROPTRONIC GROUP LTD","DIVIDEND","27 Jun 2006","29 Jun 2006","14 Jul 2006","SGD 0.007 TAX EXEMPT"
"ISHARES S&P500 IVV 10","DIVIDEND","23 Jun 2006","27 Jun 2006","29 Jun 2006","USD 0.528433 LESS TAX"
"SOILBUILD GROUP HOLDINGS LTD","RIGHTS","23 Jun 2006","27 Jun 2006","","OFFER OF 2 FOR 5 @ $0.2"
"ISHARES DJ US TECH IYW 10","DIVIDEND","22 Jun 2006","26 Jun 2006","28 Jun 2006","USD 0.045091 LESS TAX"
"ADV INTEGRATED MFG CORP LTD","DIVIDEND","21 Jun 2006","23 Jun 2006","05 Jul 2006","SGD 0.0025 ONE-TIER TAX"
"EZRA HOLDINGS LIMITED","BONUS","21 Jun 2006","23 Jun 2006","","OFFER OF 1 FOR 5"
"CHARISMA ENERGY SERVICES LTD","DIVIDEND","19 Jun 2006","21 Jun 2006","06 Jul 2006","SGD 0.001 ONE-TIER TAX"
"JARDINE CYCLE & CARRIAGE LTD","DIVIDEND","19 Jun 2006","21 Jun 2006","10 Aug 2006","SCRIP DIV OPT USD 0.15 LESS TAX"
"NEW SILKROUTES GROUP LIMITED","RIGHTS","19 Jun 2006","21 Jun 2006","","1RS4WTSFOR10SHS OFFER OF 1 FOR 10 @ SGD 0.005"
"SWISSCO INTERNATIONAL LIMITED","DIVIDEND","19 Jun 2006","21 Jun 2006","06 Jul 2006","SGD 0.002 ONE-TIER TAX"
"SWISSCO INTERNATIONAL LIMITED","DIVIDEND","19 Jun 2006","21 Jun 2006","06 Jul 2006","SGD 0.008 ONE-TIER TAX"
"WORLD PRECISION MACHINERY LTD","DIVIDEND","19 Jun 2006","21 Jun 2006","10 Jul 2006","CNY 0.096 ONE-TIER TAX"
"ATTILAN GROUP LIMITED","ENTITL.","16 Jun 2006","20 Jun 2006","30 Jun 2006","CASH DIST $0.12 SGD 0.12"
"SPDR DJIA ETF TRUST","DIVIDEND","16 Jun 2006","20 Jun 2006","17 Jul 2006","USD 0.16417 LESS TAX"
"SPDR S&P 500 ETF TRUST","DIVIDEND","16 Jun 2006","20 Jun 2006","31 Jul 2006","USD 0.55547 LESS TAX"
"ADVANCE MODULES GROUP LIMITED","DIVIDEND","15 Jun 2006","19 Jun 2006","10 Jul 2006","SGD 0.0221 ONE-TIER TAX"
"ALBEDO LIMITED","DIVIDEND","15 Jun 2006","19 Jun 2006","30 Jun 2006","SGD 0.0093 ONE-TIER TAX"
"CEI CONTRACT MANUFACTURING LTD","DIVIDEND","15 Jun 2006","19 Jun 2006","29 Jun 2006","SGD 0.00306 ONE-TIER TAX"
"HOTEL ROYAL LTD","DIVIDEND","15 Jun 2006","19 Jun 2006","25 Jul 2006","SGD 0.25 LESS TAX"
"HOTEL ROYAL LTD","RIGHTS","15 Jun 2006","19 Jun 2006","","OFFER OF 1 FOR 5 @ SGD 1"
"JTC S$300M 5%N090623","INTEREST","14 Jun 2006","16 Jun 2006","23 Jun 2006","231205 - 220606 5%"
"KEPPEL CORPORATION LIMITED","ENTITL.","14 Jun 2006","16 Jun 2006","27 Jun 2006","CASH DIST $0.23 SGD 0.23"
"MDR LIMITED","RIGHTS","14 Jun 2006","16 Jun 2006","","OFFER OF 1 FOR 2 @ SGD 0.04"
"SEA VIEW HOTEL LTD","ENTITL.","14 Jun 2006","16 Jun 2006","27 Jun 2006","CASH DIST $0.95 SGD 0.95"
"TMC EDUCATION CORPORATION LTD","DIVIDEND","14 Jun 2006","16 Jun 2006","30 Jun 2006","SGD 0.002 LESS TAX"
"CITY DEVELOPMENTS LTD NCCPS","DIVIDEND","13 Jun 2006","15 Jun 2006","30 Jun 2006","311205-290606 SGD 0.0193 NET OF TAX"
"GOLDEN AGRI-RESOURCES LTD","DIVIDEND","13 Jun 2006","15 Jun 2006","30 Jun 2006","SGD 0.01"
"POKKA CORPORATION (S) LIMITED","DIVIDEND","13 Jun 2006","15 Jun 2006","30 Jun 2006","SGD 0.005 LESS TAX"
"SINARMAS LAND LIMITED","DIVIDEND","13 Jun 2006","15 Jun 2006","30 Jun 2006","SGD 0.01 ONE-TIER TAX"
"SP AUSNET","DIVIDEND","13 Jun 2006","15 Jun 2006","26 Jun 2006","AUD 0.0015"
"SP AUSNET","DIVIDEND","13 Jun 2006","15 Jun 2006","26 Jun 2006","AUD 0.0221"
"SP AUSNET","DIVIDEND","13 Jun 2006","15 Jun 2006","26 Jun 2006","AUD 0.0089 LESS TAX"
"CHINA WHEEL HOLDINGS LTD.","DIVIDEND","12 Jun 2006","14 Jun 2006","28 Jun 2006","CNY 0.068 ONE-TIER TAX"
"ENGRO CORPORATION LIMITED","DIVIDEND","12 Jun 2006","14 Jun 2006","28 Jun 2006","SGD 0.04 LESS TAX"
"AMARA HOLDINGS LTD","DIVIDEND","09 Jun 2006","13 Jun 2006","28 Jun 2006","SGD 0.005 LESS TAX"
"TRANSIT-MIXED CONCRETE LTD","ENTITL.","09 Jun 2006","13 Jun 2006","28 Jun 2006","CASH DIST $0.02 SGD 0.02"
"CHINA MERCHANTS HLDGS(PACIFIC)","DIVIDEND","08 Jun 2006","12 Jun 2006","23 Jun 2006","SGD 0.03 ONE-TIER TAX"
"MOYA ASIA LIMITED","RIGHTS","07 Jun 2006","09 Jun 2006","","1 WT FOR 2 SH OFFER OF 1 FOR 2 @ SGD 0.02"
"THAK S$56387923.20 2%CB90215","INTEREST","07 Jun 2006","09 Jun 2006","30 Jun 2006","160206-300606 2%"
"CHIP ENG SENG CORPORATION LTD","DIVIDEND","06 Jun 2006","08 Jun 2006","23 Jun 2006","SGD 0.0075 LESS TAX"
"CHIP ENG SENG CORPORATION LTD","DIVIDEND","06 Jun 2006","08 Jun 2006","23 Jun 2006","SGD 0.0025 LESS TAX"
"HL GLOBAL ENTERPRISES LIMITED","RIGHTS","06 Jun 2006","08 Jun 2006","","2BD&3NCCPS/10SH OFFER OF 1 FOR 10 @ SGD 2.06"
"TIANJIN ZHONG XIN PHARM GROUP","DIVIDEND","06 Jun 2006","08 Jun 2006","16 Jun 2006","15%"
"LOW KENG HUAT (SINGAPORE) LTD","DIVIDEND","05 Jun 2006","07 Jun 2006","20 Jun 2006","SGD 0.025 LESS TAX"
"LOW KENG HUAT (SINGAPORE) LTD","DIVIDEND","05 Jun 2006","07 Jun 2006","20 Jun 2006","SGD 0.05 LESS TAX"
"OCBC BK 4.2% NCPS","DIVIDEND","05 Jun 2006","07 Jun 2006","20 Jun 2006","201205-190606 4.2% NET OF TAX"
"OCBC BK S$500M4.5%NCPS 100","DIVIDEND","05 Jun 2006","07 Jun 2006","20 Jun 2006","201205-190606 4.5% NET OF TAX"
"SAKAE HOLDINGS LTD.","DIVIDEND","05 Jun 2006","07 Jun 2006","21 Jun 2006","SGD 0.01 LESS TAX"
"SAKAE HOLDINGS LTD.","DIVIDEND","05 Jun 2006","07 Jun 2006","21 Jun 2006","SGD 0.0018 LESS TAX"
"SAKAE HOLDINGS LTD.","DIVIDEND","05 Jun 2006","07 Jun 2006","21 Jun 2006","SGD 0.0042 ONE-TIER TAX"
"GIANT WIRELESS TECHNOLOGY LTD","RIGHTS","02 Jun 2006","06 Jun 2006","","OFFER OF 2 FOR 5 @ $0.06"
"GUANGZHAO IND FOREST BIOGRPLTD","RIGHTS","02 Jun 2006","06 Jun 2006","","2 WT FOR 5 SH OFFER OF 2 FOR 5 @ SGD 0.03"
"TINCEL S$295.5M7.4%JB110613","INTEREST","02 Jun 2006","06 Jun 2006","13 Jun 2006","131205 - 120606 7.4%"
"TINCEL S$689M5%SB110613","INTEREST","02 Jun 2006","06 Jun 2006","13 Jun 2006","131205 - 120606 5%"
"YUEXIU PROPERTY CO LIMITED","DIVIDEND","02 Jun 2006","06 Jun 2006","26 Jun 2006","HKD 0.02"
"YUEXIU PROPERTY CO LIMITED","DIVIDEND","02 Jun 2006","06 Jun 2006","26 Jun 2006","HKD 0.05"
"ENVIRO-HUB HOLDINGS LTD","BONUS","01 Jun 2006","05 Jun 2006","","OFFER OF 1 FOR 3"
"FRASER AND NEAVE LIMITED","DIVIDEND","01 Jun 2006","05 Jun 2006","15 Jun 2006","SGD 0.2 NET OF TAX"
"ALLIANCE TECHNOLOGY & DEV LTD","ENTITL.","31 May 2006","02 Jun 2006","","100GALFOR1000SH"
"LTA $500M4.81%N100609","INTEREST","31 May 2006","02 Jun 2006","09 Jun 2006","091205 - 080606 4.81%"
"ASIA PACIFIC BREWERIES LTD","DIVIDEND","30 May 2006","01 Jun 2006","13 Jun 2006","SGD 0.14 NET OF TAX"
"EZRA HOLDINGS LIMITED","DIVIDEND","30 May 2006","01 Jun 2006","12 Jun 2006","SGD 0.022 TAX EXEMPT"
"JURONG TECH IND CORP LTD","BONUS","30 May 2006","01 Jun 2006","","OFFER OF 1 FOR 10"
"BRIGHT ORIENT (HOLDING) LTD.","DIVIDEND","29 May 2006","31 May 2006","09 Jun 2006","CNY 0.073"
"ASIATRAVEL.COM HOLDINGS LTD","DIVIDEND","26 May 2006","30 May 2006","09 Jun 2006","SGD 0.0045 ONE-TIER TAX"
"PARKWAY HLDGS LTD","DIVIDEND","26 May 2006","30 May 2006","09 Jun 2006","SGD 0.015 LESS TAX"
"TAMPINES S$108M 5.625%SA061207","INTEREST","26 May 2006","30 May 2006","07 Jun 2006","071205 - 060606 5.625%"
"TAMPINES S$72M 6%JB 061207","INTEREST","26 May 2006","30 May 2006","07 Jun 2006","071205 - 060606 6%"
"BRILLIANT MANUFACTURING LTD","DIVIDEND","25 May 2006","29 May 2006","08 Jun 2006","SGD 0.015 ONE-TIER TAX"
"SIIC ENVIRONMENT HOLDINGS LTD.","DIVIDEND","25 May 2006","29 May 2006","07 Jun 2006","SGD 0.012 ONE-TIER TAX"
"STARHUB LTD","DIVIDEND","25 May 2006","29 May 2006","09 Jun 2006","SGD 0.025 ONE-TIER TAX"
"ASIAMEDIC LIMITED","DIVIDEND","24 May 2006","26 May 2006","08 Jun 2006","SGD 0.0017 LESS TAX"
"ENVICTUS INTERNATIONAL HOLDINGS LIMITED","DIVIDEND","24 May 2006","26 May 2006","08 Jun 2006","SGD 0.002 ONE-TIER TAX"
"BURWILL HOLDINGS LIMITED","DIVIDEND","23 May 2006","25 May 2006","18 Jul 2006","HKD 0.03"
"CHASWOOD RESOURCES HLDGS LTD.","DIVIDEND","23 May 2006","25 May 2006","15 Jun 2006","SGD 0.006 ONE-TIER TAX"
"CHT (HOLDINGS) LTD.","DIVIDEND","23 May 2006","25 May 2006","16 Jun 2006","CNY 0.084"
"PTERIS GLOBAL LIMITED","DIVIDEND","23 May 2006","25 May 2006","09 Jun 2006","SGD 0.015 ONE-TIER TAX"
"UNITED FOOD HOLDINGS LIMITED","DIVIDEND","23 May 2006","25 May 2006","16 Jun 2006","CNY 0.06"
"SINGAPORE FOOD INDUSTRIES LTD","DIVIDEND","22 May 2006","24 May 2006","08 Jun 2006","SGD 0.04 LESS TAX"
"NOBLE GROUP LIMITED","DIVIDEND","19 May 2006","23 May 2006","02 Jun 2006","USD 0.024"
"SPDR DJIA ETF TRUST","DIVIDEND","19 May 2006","23 May 2006","12 Jun 2006","USD 0.27928 LESS TAX"
"SUNMOON FOOD COMPANY LIMITED","RIGHTS","19 May 2006","23 May 2006","","OFFER OF 4 FOR 1 @ SGD 0.005"
"FOOD JUNCTION HOLDINGS LIMITED","DIVIDEND","18 May 2006","22 May 2006","08 Jun 2006","SGD 0.02 ONE-TIER TAX"
"LEE METAL GROUP LTD","DIVIDEND","18 May 2006","22 May 2006","07 Jun 2006","SGD 0.008 LESS TAX"
"SOILBUILD GROUP HOLDINGS LTD","DIVIDEND","18 May 2006","22 May 2006","02 Jun 2006","SGD 0.01 ONE-TIER TAX"
"STRAITS TRADING CO. LTD","DIVIDEND","18 May 2006","22 May 2006","01 Jun 2006","SGD 0.2 ONE-TIER TAX"
"BAKER TECHNOLOGY LIMITED","RIGHTS","17 May 2006","19 May 2006","","20RS+1FREEWT/2S OFFER OF 20 FOR 2 @ SGD 0.025"
"FRENCKEN GROUP LIMITED","DIVIDEND","17 May 2006","19 May 2006","31 May 2006","SGD 0.0268 ONE-TIER TAX"
"ANNAIK LIMITED","DIVIDEND","16 May 2006","18 May 2006","08 Jun 2006","SGD 0.005 LESS TAX"
"BROADWAY INDUSTRIAL GROUP LTD","DIVIDEND","16 May 2006","18 May 2006","09 Jun 2006","SGD 0.006 LESS TAX"
"HOTEL ROYAL LTD","DIVIDEND","16 May 2006","18 May 2006","31 May 2006","SGD 0.06 LESS TAX"
"JURONG TECH IND CORP LTD","DIVIDEND","16 May 2006","18 May 2006","31 May 2006","SGD 0.03 ONE-TIER TAX"
"PEOPLE'S FOOD HOLDINGS LIMITED","DIVIDEND","16 May 2006","18 May 2006","08 Jun 2006","CNY 0.099"
"SHANGRI-LA ASIA LIMITED","DIVIDEND","16 May 2006","18 May 2006","02 Jun 2006","HKD 0.1"
"SILVERLAKE AXIS LTD","DIVIDEND","16 May 2006","18 May 2006","05 Jun 2006","SGD 0.0075 ONE-TIER TAX"
"SINOMEM TECHNOLOGY LIMITED","DIVIDEND","16 May 2006","18 May 2006","08 Jun 2006","SGD 0.01 ONE-TIER TAX"
"SUPERIOR MULTI-PACKAGING LTD","DIVIDEND","16 May 2006","18 May 2006","08 Jun 2006","SGD 0.008 TAX EXEMPT"
"ARMSTRONG INDUSTRIAL CORP LTD","DIVIDEND","15 May 2006","17 May 2006","31 May 2006","SGD 0.003 LESS TAX"
"ARMSTRONG INDUSTRIAL CORP LTD","DIVIDEND","15 May 2006","17 May 2006","31 May 2006","SGD 0.007 LESS TAX"
"BRC ASIA LIMITED","DIVIDEND","15 May 2006","17 May 2006","31 May 2006","SGD 0.001 LESS TAX"
"ENPORIS GREENZ LIMITED","DIVIDEND","15 May 2006","17 May 2006","30 May 2006","SGD 0.008 LESS TAX"
"ENPORIS GREENZ LIMITED","DIVIDEND","15 May 2006","17 May 2006","30 May 2006","SGD 0.005 LESS TAX"
"NEW TOYO INT HLDGS LTD","DIVIDEND","15 May 2006","17 May 2006","02 Jun 2006","SGD 0.0087 ONE-TIER TAX"
"SEMBAWANG KIMTRANS LTD","DIVIDEND","15 May 2006","17 May 2006","08 Jun 2006","SGD 0.006 TAX EXEMPT"
"SHANGHAI TURBO ENTERPRISES LTD","DIVIDEND","15 May 2006","17 May 2006","05 Jul 2006","SCRIP DIV OPT SGD 0.009 TAX EXEMPT"
"TIH LIMITED","DIVIDEND","15 May 2006","17 May 2006","01 Jun 2006","SGD 0.1 ONE-TIER TAX"
"DBS GROUP HOLDINGS LTD","DIVIDEND","11 May 2006","16 May 2006","26 May 2006","SGD 0.17 LESS TAX"
"EDMI LIMITED","DIVIDEND","11 May 2006","16 May 2006","26 May 2006","SGD 0.006 LESS TAX"
"FUJI OFFSET PLATES MFG LTD","DIVIDEND","11 May 2006","16 May 2006","26 May 2006","SGD 0.005 NET OF TAX"
"GREEN BUILD TECHNOLOGY LIMITED","DIVIDEND","11 May 2006","16 May 2006","31 May 2006","SGD 0.0125 ONE-TIER TAX"
"HIAP HOE LIMITED","DIVIDEND","11 May 2006","16 May 2006","31 May 2006","SGD 0.00125 ONE-TIER TAX"
"HUAN HSIN HOLDINGS LTD","DIVIDEND","11 May 2006","16 May 2006","06 Jun 2006","SGD 0.006 TAX EXEMPT"
"INNOVALUES LIMITED","DIVIDEND","11 May 2006","16 May 2006","30 May 2006","SGD 0.02 LESS TAX"
"PACIFIC HEALTHCARE HLDGS LTD","DIVIDEND","11 May 2006","16 May 2006","30 May 2006","SGD 0.0048 ONE-TIER TAX"
"S I2I LIMITED","RIGHTS","11 May 2006","16 May 2006","","OFFER OF 1 FOR 4 @ SGD 0.16"
"SEA VIEW HOTEL LTD","DIVIDEND","11 May 2006","16 May 2006","26 May 2006","SGD 1.27 ONE-TIER TAX"
"SEA VIEW HOTEL LTD","ENTITL.","11 May 2006","16 May 2006","","1 SV SH/1 SH OFFER OF 1 FOR 1"
"SUPERBOWL HOLDINGS LIMITED","DIVIDEND","11 May 2006","16 May 2006","31 May 2006","SGD 0.0075 LESS TAX"
"ZAGRO ASIA LIMITED","DIVIDEND","11 May 2006","16 May 2006","26 May 2006","SGD 0.01 LESS TAX"
"CDW HOLDING LIMITED","DIVIDEND","10 May 2006","15 May 2006","24 May 2006","USD 0.004"
"COMFORTDELGRO CORPORATION LTD","DIVIDEND","10 May 2006","15 May 2006","30 May 2006","SGD 0.03 LESS TAX"
"G. K. GOH HOLDINGS LIMITED","DIVIDEND","10 May 2006","15 May 2006","31 May 2006","SGD 0.04 LESS TAX"
"G. K. GOH HOLDINGS LIMITED","DIVIDEND","10 May 2006","15 May 2006","31 May 2006","SGD 0.04 LESS TAX"
"HOTEL PROPERTIES LTD","DIVIDEND","10 May 2006","15 May 2006","30 May 2006","SGD 0.025 LESS TAX"
"HOTEL PROPERTIES LTD","DIVIDEND","10 May 2006","15 May 2006","30 May 2006","SGD 0.025 LESS TAX"
"HWA HONG CORPORATION LIMITED","DIVIDEND","10 May 2006","15 May 2006","26 May 2006","SGD 0.01 LESS TAX"
"JUKEN TECHNOLOGY LIMITED","DIVIDEND","10 May 2006","15 May 2006","31 May 2006","SGD 0.0018 LESS TAX"
"KINGBOARD COPPER FOIL HDGS LTD","DIVIDEND","10 May 2006","15 May 2006","25 May 2006","HKD 0.03"
"LTA S$300M4.08%N120521","INTEREST","10 May 2006","15 May 2006","22 May 2006","211105-200506 4.08%"
"OCEAN SKY INTERNATIONAL LTD","DIVIDEND","10 May 2006","15 May 2006","26 May 2006","SGD 0.012 LESS TAX"
"SBS TRANSIT LTD","DIVIDEND","10 May 2006","15 May 2006","26 May 2006","SGD 0.05 LESS TAX"
"SBS TRANSIT LTD","DIVIDEND","10 May 2006","15 May 2006","26 May 2006","SGD 0.15 LESS TAX"
"SENGKANGM S$201M4.88%SB121120","INTEREST","10 May 2006","15 May 2006","22 May 2006","201105-190506 4.88%"
"SENGKANGMALL S$134M8%JB121120","INTEREST","10 May 2006","15 May 2006","22 May 2006","201105-190506 8%"
"SINGAPORE PETROLEUM CO LTD","DIVIDEND","10 May 2006","15 May 2006","29 May 2006","SGD 0.2 ONE-TIER TAX"
"SINGAPORE PETROLEUM CO LTD","DIVIDEND","10 May 2006","15 May 2006","29 May 2006","SGD 0.12 ONE-TIER TAX"
"SUPER GROUP LTD.","DIVIDEND","10 May 2006","15 May 2006","26 May 2006","SGD 0.01 LESS TAX"
"THOMSON MEDICAL CENTRE LIMITED","DIVIDEND","10 May 2006","15 May 2006","30 May 2006","SGD 0.00625 LESS TAX"
"UOB-KAY HIAN HOLDINGS LIMITED","DIVIDEND","10 May 2006","15 May 2006","30 May 2006","SGD 0.08 LESS TAX"
"VICOM LTD","DIVIDEND","10 May 2006","15 May 2006","26 May 2006","SGD 0.0475 LESS TAX"
"VICOM LTD","DIVIDEND","10 May 2006","15 May 2006","26 May 2006","SGD 0.02 LESS TAX"
"AEI CORPORATION LTD","DIVIDEND","09 May 2006","11 May 2006","26 May 2006","SGD 0.006 ONE-TIER TAX"
"AEI CORPORATION LTD","DIVIDEND","09 May 2006","11 May 2006","26 May 2006","SGD 0.004 ONE-TIER TAX"
"CAPITALAND LIMITED","DIVIDEND","09 May 2006","11 May 2006","26 May 2006","SGD 0.06 LESS TAX"
"CAPITALAND LIMITED","DIVIDEND","09 May 2006","11 May 2006","26 May 2006","SGD 0.12 LESS TAX"
"FIBRECHEM TECHNOLOGIES LIMITED","DIVIDEND","09 May 2006","11 May 2006","25 May 2006","HKD 0.085"
"HAW PAR CORP LTD","DIVIDEND","09 May 2006","11 May 2006","31 May 2006","SGD 0.13 ONE-TIER TAX"
"INTERNATIONAL PRESS SOFTCOM","DIVIDEND","09 May 2006","11 May 2006","26 May 2006","SGD 0.00125 LESS TAX"
"LUYE PHARMA GROUP LTD.","DIVIDEND","09 May 2006","11 May 2006","26 May 2006","USD 0.005"
"PAN ASIAN HOLDINGS LIMITED","DIVIDEND","09 May 2006","11 May 2006","30 May 2006","SGD 0.005 NET OF TAX"
"RAMBA ENERGY LIMITED","DIVIDEND","09 May 2006","11 May 2006","18 May 2006","SGD 0.005 ONE-TIER TAX"
"SINGAPORE LAND LIMITED","DIVIDEND","09 May 2006","11 May 2006","24 May 2006","SGD 0.2 LESS TAX"
"SINOPIPE HOLDINGS LIMITED","DIVIDEND","09 May 2006","11 May 2006","25 May 2006","SGD 0.01 ONE-TIER TAX"
"TPV TECHNOLOGY LIMITED","DIVIDEND","09 May 2006","11 May 2006","30 May 2006","USD 0.02"
"VIKING OFFSHORE AND MARINE LTD","DIVIDEND","09 May 2006","11 May 2006","26 May 2006","SGD 0.01 LESS TAX"
"CENTURION CORPORATION LIMITED","DIVIDEND","08 May 2006","10 May 2006","30 May 2006","SGD 0.003 LESS TAX"
"FEDERAL INT(2000) LTD","DIVIDEND","08 May 2006","10 May 2006","26 May 2006","SGD 0.008 LESS TAX"
"HEETON HOLDINGS LIMITED","DIVIDEND","08 May 2006","10 May 2006","26 May 2006","SGD 0.003 ONE-TIER TAX"
"HYFLUX LTD","DIVIDEND","08 May 2006","10 May 2006","22 May 2006","SGD 0.0035 NET OF TAX"
"HYFLUX LTD","DIVIDEND","08 May 2006","10 May 2006","22 May 2006","SGD 0.01 ONE-TIER TAX"
